SMILES,logP,MW
COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,2.05,268.22
O=c1[nH]c(=O)n(C2CCCO2)cc1F,-0.02,200.17
Nc1nc(=O)[nH]cc1F,-0.51,129.09
O=c1[nH]cc(F)c(=O)[nH]1,-0.8,130.08
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,2.42,395.43
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,3.68,379.44
N#CC1(c2ccc(F)cc2)CCC(=O)CC1,2.73,217.24
O=C1NC(=O)[C@@]2(CCOc3ccc(F)cc32)N1,0.64,236.2
C#Cc1ccc(-c2ccccc2F)cc1,3.47,196.22
Nc1ncnc2c1ncn2Cc1c(F)cccc1Cl,2.25,277.69
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,4.0,387.89
Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1I,-0.98,371.11
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,-1.22,354.1
N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)O,1.56,432.98
CN/C(=N\C#N)NCCSCc1nc[nH]c1C,0.6,252.35
CC(C)NCC(O)c1ccc(N)c(C#N)c1,1.17,219.29
CN/C(=N\c1ccc(C2=NNC(=O)CC2C)cc1)NC#N,0.82,284.32
NC(N)=Nc1nc(CSCC/C(N)=N\S(N)(=O)=O)cs1,-0.77,337.46
CN/C(=N\C#N)NCCSCc1csc(N=C(N)N)n1,-0.07,312.43
N[C@H](C(=O)O)c1ccc(O)cc1,0.48,167.16
COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-],-1.64,233.23
N=C(N)NCCC[C@H](N)C(=O)O,-1.34,174.2
CCCCCCCCCCCCCCC[C@H](O)[C@@H](N)CO,4.15,301.52
N[C@@H]1CONC1=O,-1.62,102.09
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@@]1(C)O,-3.85,447.53
CN1CC(=O)NC1=N,-1.02,113.12
c1ccc2[nH]c(-c3cscn3)nc2c1,2.69,201.25
N=C(N)N,-1.16,59.07
CCCCNC(=N)NC(=N)N,-0.21,157.22
N=C(N)NN,-1.66,74.09
CCCCCCOc1ccccc1C(N)=O,2.74,221.3
NC(=O)c1cccnc1,0.18,122.13
NC(=O)c1cnccn1,-0.42,123.11
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,-3.01,244.21
Cn1nnc2c(C(N)=O)ncn2c1=O,-2.08,194.15
NC(=O)c1cn(Cc2c(F)cccc2F)nn1,0.7,238.2
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,-2.82,258.23
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,-2.7,259.22
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,3.22,308.42
NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cc4cccs4)[C@H]3SC2)cc1,-1.22,458.52
NC(=O)CCCCC1CCSS1,2.19,205.35
CC(c1cc2ccccc2s1)N(O)C(N)=O,2.73,236.3
NC(=O)N1c2ccccc2C=Cc2ccccc21,3.39,236.27
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,2.64,252.27
NC(=O)NNc1ccccc1,0.68,151.17
NC(=O)NO,-0.96,76.05
CCOC(N)=O,0.1,89.09
NC(=O)OCC(COC(N)=O)c1ccccc1,0.96,238.24
COc1ccccc1OCC(O)COC(N)=O,0.53,241.24
NC(=O)OCCCc1ccccc1,1.71,179.22
NC(=S)N/N=C/c1cccnc1,0.25,180.24
C=CCNC(N)=S,0.01,116.19
CCCCCC(C)N,1.91,115.22
NC/C=C/C(=O)O,-0.41,101.1
C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1.74,318.3
Nc1cc(=O)nc(N)[nH]1,-1.07,126.12
NC1=NC(=O)C(c2ccccc2)O1,0.6,176.18
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,-0.5,211.22
Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,-2.14,228.21
NC12CC3CC(CC(C3)C1)C2,1.91,151.25
NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,1.53,254.29
Nc1c2c(nc3ccccc13)CCCC2,2.7,198.27
Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,0.91,380.66
CCOC(=O)c1cccc(N)c1,1.45,165.19
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],-0.13,209.25
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,2.11,344.25
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,2.0,299.8
Nc1ccc(C(=O)N2CC3CC(CN(Cc4ccccc4)C3)C2)cc1,2.86,335.45
CCOC(=O)c1ccc(N)cc1,1.45,165.19
CC(C)COC(=O)c1ccc(N)cc1,2.08,193.25
Nc1ccc(C(=O)OCC(O)CO)cc1,-0.22,211.22
CCCOC(=O)c1ccc(N)cc1,1.84,179.22
CCCCOC(=O)c1ccc(N)cc1,2.23,193.25
CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,3.72,306.45
N=C(N)NS(=O)(=O)c1ccc(N)cc1,-0.56,214.25
Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,1.39,276.32
CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,1.06,271.34
CC(=O)NS(=O)(=O)c1ccc(N)cc1,0.09,214.25
NC(=O)NS(=O)(=O)c1ccc(N)cc1,-0.37,215.23
Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,2.07,248.31
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,2.26,314.37
Nc1ccc(S(=O)(=O)NCc2ccccc2)cc1,1.75,262.33
Nc1ccc(S(N)(=O)=O)cc1,-0.08,172.21
Nc1ccncc1,0.66,94.12
Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,0.8,272.7
Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1,2.01,256.1
Nc1ncnc2[nH]cnc12,-0.06,135.13
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,-1.33,225.21
CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,2.63,466.46
COc1cc2nc(Cl)nc(N)c2cc1OC,1.88,239.66
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1.26,290.32
COc1cc(C)c(Cc2cnc(N)nc2N)cc1OC,1.56,274.32
COc1ccc(Cc2cnc(N)nc2N)cc1OC,1.25,260.3
Nc1nnnn1-c1ccccc1,0.24,161.17
C=CCn1c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,-2.73,339.31
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-1.84,285.24
COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-1.97,297.27
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-1.98,267.24
Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,-0.82,329.21
NCC(=O)O,-0.97,75.07
NCC1(CC(=O)O)CCCCC1,1.37,171.24
CCN1CCCC1CN,0.43,128.22
NCc1cccnc1,0.54,108.14
NCc1ccccc1Sc1ccccc1CO,2.79,245.35
NCCc1cnc[nH]1,-0.09,111.15
NCCCCCC(=O)O,0.59,131.18
NCCNCCNCCN,-1.92,146.24
NCCS(=O)(=O)O,-1.17,125.15
NNc1nnc(NN)c2ccccc12,0.2,190.21
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,2.08,365.84
NS(=O)(=O)c1cc(C(=O)NN2C[C@H]3[C@H]4CCC(C4)[C@H]3C2)ccc1Cl,1.61,369.87
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.09,383.52
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,2.71,365.84
NS(=O)(=O)c1cc2c(cc1Cl)CN(C1CCCCC1)C2=O,2.28,328.82
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,0.88,289.74
COc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1F,3.27,397.38
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,1.89,330.75
NS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2cccs2)cc1Cl,1.84,370.85
Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2,0.36,275.35
CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0.6,360.24
CCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,0.43,325.8
C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,0.94,383.9
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.35,297.75
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,2.24,431.95
NS(=O)(=O)c1cc2c(cc1Cl)NC(CC1CCCC1)NS2(=O)=O,1.6,379.89
NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,1.23,389.89
NS(=O)(=O)Cc1noc2ccccc12,0.62,212.23
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,-0.4,339.37
c1ccc(C2CC2)c(OCC2=NCCN2)c1,1.94,216.28
CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C,2.35,245.33
C[C@H]1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,4.47,426.42
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,0.44,211.22
O=C(O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,2.56,340.42
O=P1(N(CCCl)CCCl)NCCCO1,1.88,261.09
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,0.52,247.14
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C(Cl)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,2.41,444.9
COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,2.63,263.38
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,-3.58,332.31
O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O,-3.4,210.14
CCCCCCC(=O)CCCCCC/C=C/C[C@@H](O)[C@H](O)[C@@](N)(CO)C(=O)O,2.31,401.54
O=C(O)[C@H](O)c1ccccc1,0.8,152.15
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,-3.83,180.16
CC(=O)N1C[C@H](O)C[C@H]1C(=O)O,-0.95,173.17
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,3.25,352.47
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,2.18,349.32
OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,-3.59,182.17
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-3.59,182.17
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,-3.38,180.16
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,-0.18,299.35
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,-1.6,420.51
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,-0.31,383.47
C[C@H](N)[C@H](O)c1cccc(O)c1,0.77,167.21
[O-][n+]1cccc(/C(Cl)=N/OC[C@H](O)CN2CCCCC2)c1,1.08,313.79
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0.5,316.43
OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,-4.49,267.28
OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,-1.66,397.64
O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,-1.49,146.14
CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,-2.89,265.22
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,-5.4,342.3
C[C@H]1C[C@H](O)c2ccsc2S1(=O)=O,1.35,218.3
Cc1cc(=O)oc2cc(O[C@@H]3SC[C@@H](O)[C@H](O)[C@H]3O)ccc12,0.64,324.35
[NH3+]c1ccccc1,0.56,94.14
Nc1ccc([As](=O)(O)O)cc1,-1.17,217.06
NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.6,211.13
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,0.19,198.14
CC(C)NCC(O)c1ccc([N+](=O)[O-])cc1,1.63,224.26
Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,2.2,206.12
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,0.07,238.16
O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.47,365.21
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,1.15,277.27
C[C@@H](CSC(=O)c1ccccc1)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)O,4.04,429.56
CC(C(=O)c1ccccc1)N(C)C,1.82,177.25
CC(=O)N[C@@H](CC(C)C)C(=O)O,0.62,173.21
CC(=O)N[C@@H](CCC(=O)O)C(=O)O,-0.56,189.17
CC(=O)N1CCN(c2ccc(O)cc2)CC1,1.06,220.27
CC(=O)NC(CCC(N)=O)C(=O)O,-1.16,188.18
CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,0.81,236.3
CC(=O)Nc1ccc(C(=O)O)cc1,1.34,179.18
CC(=O)Nc1ccc(CC(=O)O)cc1,1.27,193.2
CC(=O)Nc1ncc([N+](=O)[O-])s1,1.01,187.18
CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,-0.3,318.28
CC(=O)OCC(COC(C)=O)OC(C)=O,0.04,218.2
CC(=O)Oc1cccc(C)c1,1.92,150.18
CC(=O)Oc1ccc(C)cc1,1.92,150.18
C/C=C(C(=C/C)/c1ccc(OC(C)=O)cc1)\c1ccc(OC(C)=O)cc1,5.04,350.41
CC(=O)Oc1cccc(O)c1,1.32,152.15
CC(=O)Oc1ccccc1C(=O)O,1.31,180.16
CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,1.96,248.31
COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1,3.03,301.33
COc1ccc(C(=O)c2ccccc2)c(O)c1,2.63,228.25
CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1,5.36,326.44
O=C(c1ccccc1)c1ccccc1,2.92,182.22
CCC(=O)c1c(O)cc(O)cc1O,1.4,182.18
CCC(=O)N(c1ccccc1)C1CCNCC1,2.18,232.33
CN(C(=O)Cc1ccccc1)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1,3.25,356.51
NC(=O)NC(=O)Cc1ccccc1,0.42,178.19
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,1.23,356.06
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.4,254.29
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,7.07,470.69
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,4.79,314.47
CCCCCCCCCCCCCCCC(=O)NCCO,4.58,299.5
CCOC(=O)C(=O)CCCCCCl,1.92,206.67
O=C(CCCCl)c1ccc(F)cc1,3.03,200.64
CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21,3.51,421.55
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,1.56,351.41
COc1ccc(C(=O)N2CCN(CC(=O)N3CCOCC3)CC2)cc1,0.31,347.42
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,1.11,260.25
O=C(Cn1ccnc1[N+](=O)[O-])NCCO,-1.1,214.18
O=C(CN1CCNCC1)NC1CCCCC1,0.34,225.34
CC(=O)c1ccc(O)c(C(N)=O)c1,0.69,179.17
NC(=O)c1ccccc1O,0.49,137.14
NC(=O)CC[C@@H](N)C(=O)O,-1.34,146.15
NC(=O)N[C@@H](CCC(=O)O)C(=O)O,-1.03,190.16
NC(=O)Nc1ccc([As](=O)(O)O)cc1,-1.26,260.08
NC(=O)NC1N=C(O[Al](O)O)NC1=O,-3.55,218.1
CCC(C)C(C)(COC(N)=O)COC(N)=O,1.23,232.28
COc1ccc(/C=N/NC(=O)c2ccncc2)cc1OC,1.86,285.3
C/C(=N/NC(=O)c1ccncc1)C(=O)O,0.27,207.19
CN1CCN(C(=O)C2CCCCC2)CC1,1.34,210.32
CCN(CC)C(=O)N1CCN(C)CC1,0.7,199.3
O=C(c1ccco1)N1CCNCC1,0.32,180.21
CC(=O)NC(=O)c1ccccc1O,0.67,179.18
CC(C)NC(=O)c1ccc(C=O)cc1,1.64,191.23
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,2.02,260.33
CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,2.3,334.42
CCN(CC)CC(=O)Nc1c(C)cccc1C(=O)OC,2.06,278.35
CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1,4.3,325.48
Cc1cccc(C)c1NC(=O)c1ccc(N)cc1,3.14,240.31
Cc1cccc(C)c1NC(=O)c1ccccc1C(=O)O,3.25,269.3
Cc1cccc(C)c1NC(=O)CN(CC(=O)O)CC(=O)O,0.71,294.31
CCN(CC)CC(=O)Nc1c(C)cccc1C,2.58,234.34
Cc1cccc(C)c1NC(=O)CN1CCCC1,2.34,232.33
CNC(=N)NC(=O)Nc1c(C)cccc1C,1.58,220.28
CCc1cccc(CC)c1NC(=O)CN(CC(=O)O)CC(=O)O,1.22,322.36
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,3.21,276.21
CC(C)C(=O)Nc1cccc(C(F)(F)F)c1,3.3,231.22
O=C(Nc1ccc(Cl)c(Cl)c1)C1CC1,3.34,230.09
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,3.27,363.5
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.32,296.39
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.21,324.4
COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC,1.19,294.35
CO/N=C(\C(=O)O)c1csc(NC(=O)CCl)n1,0.76,277.69
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,-2.21,307.33
Nc1ccc(C(=O)NCC(=O)O)cc1,0.08,194.19
O=C(O)CNC(=O)c1ccccc1,0.5,179.18
O=C(O)CNC(=O)c1ccccc1I,1.11,305.07
O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,2.52,435.89
O=C(O)CCNC(=O)c1ccccc1,0.89,193.2
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,3.55,361.83
O=C(NCCc1c[nH]c2ccccc12)c1cccnc1,2.54,265.32
CC(C)(C)C(=O)NCCCC(=O)O,1.01,187.24
O=NN(CCCl)C(=O)NCCCl,1.16,214.05
CCN(CC)CCNC(=O)c1ccc(N)cc1,1.34,235.33
O=C(NCN1CCOCC1)c1cnccn1,-0.5,222.25
CC(C)NNC(=O)c1ccncc1,0.72,179.22
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,1.02,298.35
NP(N)(=O)NC(=O)c1ccc(F)cc1,0.58,217.14
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCC2)cc1,1.93,282.36
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,2.37,325.45
O=C(O)/C=C\C(=O)O,-0.29,116.07
CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,3.93,319.25
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,3.33,373.88
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,4.12,294.44
c1ccc2nc(N3CCNCC3)ccc2c1,1.64,213.28
Nc1c2c(nc3ccccc13)CCCC2O,2.19,214.27
C[C@@H](O)[C@H](N)C(=O)O,-1.22,119.12
N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,0.83,220.23
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,3.52,378.43
O=C(O)[C@@H](S)[C@H](S)C(=O)O,-0.25,182.22
O=C1CC[C@@H](C(=O)O)N1,-0.65,129.11
O=C(O)[C@@H]1CSCN1,-0.27,133.17
COc1cc2c(cc1OC)CN(C(=O)[C@H](C)N[C@@H](CCc1ccccc1)C(=O)O)[C@H](C(=O)O)C2,2.11,470.52
N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,1.12,204.23
O=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,-5.67,358.3
COCCc1ccc(OCC(O)CNC(C)C)cc1,1.61,267.37
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)O,4.22,316.44
O=C(O)C(=O)Nc1cccc(-c2nnn[nH]2)c1,-0.11,233.19
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,4.45,383.53
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,3.57,250.34
Cc1nc(-c2ccc(Cl)cc2)oc1COC(C)(C)C(=O)O,3.68,309.75
CCC(C)(Oc1ccc(C2(c3ccc(OC(C)(CC)C(=O)O)cc3)CCCCC2)cc1)C(=O)O,6.2,468.59
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,2.79,246.31
CC(O)C(=O)O,-0.55,90.08
CCC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,3.43,295.34
NC(CS)C(=O)O,-0.67,121.16
CC(=O)NC(Cc1ccccc1)C(=O)O,0.82,207.23
CCN(CC)CCc1nc(-c2ccccc2)no1,2.62,245.33
CCN(CCCc1ccccc1)CCCc1ccccc1,4.57,281.44
CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,2.07,488.61
CN(C)CCN(Cc1ccccc1)c1ccccn1,2.65,255.37
Cc1ccccc1C(OCCN(C)C)c1ccccc1,3.66,269.39
CN(C)CCOc1ccccc1Cc1ccccc1,3.22,255.36
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,-0.31,294.31
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1,-0.87,272.28
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,0.1,427.46
CC1Sc2c(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc3n21,1.87,349.39
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,-0.64,454.52
O=C(O)c1c(O)c(-c2ccccc2)nc2ccccc12,3.31,265.27
O=C(O)c1cc(-c2ccccc2)nc2ccccc12,3.6,249.27
O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1,2.93,316.31
O=C(O)C1CCC1,0.87,100.12
Oc1cccc2cccnc12,1.94,145.16
O=C(O)c1ccccn1,0.78,123.11
O=C(O)c1cccnc1,0.78,123.11
CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,2.48,371.35
O=C(O)c1cn(C2CC2)c2cc(Cl)c(F)cc2c1=O,2.83,281.67
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1.27,319.34
CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,1.45,261.23
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,0.66,320.32
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1.42,232.24
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21,1.11,288.31
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,-0.08,303.32
CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,0.84,262.22
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,2.42,362.41
Cc1c(F)cc2c(=O)c(C(=O)O)cn3c2c1CCC3C,2.65,275.28
CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,2.31,360.39
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,4.07,402.53
O=C(O)Cc1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1,3.82,312.76
O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,3.09,253.71
O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1,4.76,329.81
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,3.38,287.36
O=C(O)CCC(=O)O,-0.06,118.09
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,2.92,270.38
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,3.77,327.82
CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.57,438.48
O=C(O)CCc1nc2ccccc2[nH]1,1.58,190.2
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,3.38,304.22
O=C(O)CCCCCCCC(=O)O,1.89,188.22
C=CCCCCCCCCC(=O)O,3.38,184.28
CCCCCCCCCCCCCCCC(=O)O,5.55,256.43
CCCCCCCCCCCCCCCCCC(=O)O,6.33,284.48
CC(=O)NCCCCCC(=O)O,0.77,173.21
Cc1c(Cn2ccnc2)c2ccccc2n1CCC(=O)O,2.67,283.33
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,-2.04,380.35
